date,time,wasRecord,name,recordDurationDays
1623412800,5519,false,Nefrums,
1623412800,9453,false,Zaspar,
1623412800,9532,false,Krul87,
1623499200,8560,false,heartosis,
1623499200,8894,false,Zaspar,
1623499200,12154,false,mysticamber,
1623672000,22279,false,UrielHarpy,
1623931200,8730,false,Zaspar,
1623931200,11780,false,Cyclomactic,
1624017600,10511,false,Cyclomactic,
1624017600,13303,false,Redrex_7,
1624104000,7984,false,unique_2,
1624104000,13545,false,mimoanon,
1624190400,6015,false,P1tta,
1624190400,7050,false,Flaggi793,
1624190400,8376,false,heartosis,
1624190400,8568,false,Zaspar,
1624276800,5984,false,P1tta,
1624276800,6426,false,BumbleBeeRider,
1624363200,7519,false,unique_2,
1624363200,8425,false,Zaspar,
1624363200,8439,false,Cobai,
1624536000,8173,false,Zaspar,
1624622400,10465,false,Cyclomactic,
1624795200,8115,false,heartosis,
1624881600,6338,false,BumbleBeeRider,
1624968000,5485,false,Nefrums,
1624968000,6289,false,BumbleBeeRider,
1625054400,5959,false,P1tta,
1625054400,6354,false,Ximoltus,
1625140800,6292,false,Ximoltus,
1625313600,6180,false,Ximoltus,
1625313600,8105,false,heartosis,
1625313600,9854,false,BlobbyBob,
1625400000,7568,false,heartosis,
1625486400,18828,false,kungfuwerewolf,
1625659200,6132,false,Ximoltus,
1625659200,7219,false,unique_2,
1625745600,5440,false,Nefrums,
1625745600,5941,false,Ximoltus,
1625745600,9774,false,wollywog,
1625745600,16974,false,wollywog,
1625832000,5927,false,Ximoltus,
1626091200,7409,false,heartosis,
1626264000,7132,false,heartosis,
1626350400,8300,false,Cobai,
1626350400,9937,false,Cyclomactic,
1626696000,5330,true,Franqly,1
1626696000,9092,false,Cyclomactic,
1626696000,9347,false,JeHor,
1626782400,5328,true,Franqly,1
1626782400,8993,false,JeHor,
1626868800,5270,true,Franqly,118
1626868800,5310,false,Franqly,
1626868800,9066,false,Cyclomactic,
1626868800,12690,false,Zazzu,
1626868800,14508,false,Zazzu,
1627214400,16269,false,kungfuwerewolf,
1627387200,7029,false,heartosis,
1627473600,8482,false,Cyclomactic,
1627473600,11589,false,Zazzu,
1627473600,11816,false,ChristianLonsing,
1627560000,8226,false,JeHor,
1627560000,11796,false,ChristianLonsing,
1627819200,10868,false,Zazzu,
1627905600,7577,false,Zaspar,
1627905600,9695,false,wollywog,
1627905600,10296,false,Zazzu,
1627905600,11283,false,ChristianLonsing,
1628078400,8232,false,Cyclomactic,
1628251200,8218,false,JeHor,
1628337600,6866,false,Zaspar,
1628337600,10094,false,Zazzu,
1628424000,14239,false,kungfuwerewolf,
1628510400,7681,false,JeHor,
1628510400,7921,false,Cyclomactic,
1628596800,9726,false,Zazzu,
1628683200,6902,false,heartosis,
1628856000,10937,false,Teather,
1629028800,9633,false,Zazzu,
1629028800,10972,false,ChristianLonsing,
1629115200,7711,false,Cyclomactic,
1629115200,9337,false,Zazzu,
1629201600,13922,false,kungfuwerewolf,
1629460800,6886,false,heartosis,
1629633600,6638,false,Zaspar,
1629633600,6748,false,heartosis,
1629633600,10510,false,ChristianLonsing,
1629633600,13568,false,kungfuwerewolf,
1629720000,6556,false,Zaspar,
1629720000,12791,false,kungfuwerewolf,
1629892800,8866,false,Zazzu,
1629979200,6692,false,heartosis,
1629979200,12386,false,kungfuwerewolf,
1630065600,11973,false,kungfuwerewolf,
1630152000,6604,false,heartosis,
1630238400,7583,false,JeHor,
1630238400,8252,false,Zazzu,
1630324800,11574,false,kungfuwerewolf,
1630411200,11370,false,kungfuwerewolf,
1630584000,7668,false,Cyclomactic,
1630584000,11056,false,kungfuwerewolf,
1630670400,6562,false,heartosis,
1630756800,5913,false,Ximoltus,
1630756800,6489,false,heartosis,
1630929600,6400,false,Zaspar,
1630929600,8046,false,Zazzu,
1631016000,15672,false,balik8068,
1631102400,6379,false,heartosis,
1631102400,7414,false,Cyclomactic,
1631102400,10778,false,kungfuwerewolf,
1631275200,9079,false,Krul87,
1631361600,5428,false,Nefrums,
1631361600,8748,false,Krul87,
1631361600,10103,false,ChristianLonsing,
1631361600,15127,false,balik8068,
1631448000,7585,false,Zazzu,
1631534400,5398,false,Nefrums,
1631534400,7282,false,Cyclomactic,
1631620800,7172,false,JeHor,
1631620800,7251,false,Cyclomactic,
1631707200,14132,false,balik8068,
1631707200,14623,false,balik8068,
1631880000,10702,false,kungfuwerewolf,
1631966400,6215,false,heartosis,
1631966400,10427,false,kungfuwerewolf,
1632139200,13932,false,balik8068,
1632225600,7336,false,Zazzu,
1632398400,7125,false,Cyclomactic,
1632571200,6165,false,heartosis,
1632571200,7101,false,Zazzu,
1632571200,10339,false,kungfuwerewolf,
1632571200,12907,false,balik8068,
1632571200,13380,false,balik8068,
1632657600,6155,false,heartosis,
1632744000,6117,false,heartosis,
1632744000,6351,false,Zaspar,
1632744000,7016,false,Cyclomactic,
1632916800,6246,false,Zaspar,
1632916800,6298,false,Zaspar,
1632916800,6901,false,Cyclomactic,
1633003200,6139,false,Zaspar,
1633089600,6053,false,heartosis,
1633176000,5697,false,Ximoltus,
1633262400,5981,false,heartosis,
1633435200,12345,false,balik8068,
1633521600,7078,false,Zazzu,
1633608000,5575,false,Ximoltus,
1633608000,5629,false,Ximoltus,
1633780800,5936,false,heartosis,
1633780800,6824,false,JeHor,
1633780800,6875,false,Zazzu,
1633867200,12297,false,balik8068,
1633953600,6831,false,Zazzu,
1633953600,14130,false,Phredward,
1634040000,5352,false,Nefrums,
1634299200,7123,false,typical_guy,
1634385600,6658,false,Zazzu,
1634385600,7557,false,ardoRic,
1634472000,5889,false,heartosis,
1634731200,5552,false,Ximoltus,
1634990400,6640,false,Zazzu,
1635076800,5482,false,Ximoltus,
1635076800,6635,false,Zazzu,
1635076800,14769,false,Schmutz02,
1635249600,11134,false,mysticamber,
1635336000,5424,false,Ximoltus,
1635336000,9959,false,Forneaux,
1635422400,9811,false,Forneaux,
1635422400,10025,false,kungfuwerewolf,
1635508800,5422,false,Ximoltus,
1635508800,6622,false,Zazzu,
1635508800,11406,false,Phredward,
1635595200,5947,false,Zaspar,
1635595200,6577,false,Zazzu,
1635595200,12252,false,Schmutz02,
1635681600,5871,false,heartosis,
1635681600,6440,false,Zazzu,
1636200000,6317,false,Zazzu,
1636545600,5853,false,heartosis,
1636718400,5308,false,Nefrums,
1636718400,6289,false,Zazzu,
1636718400,6742,false,JeHor,
1636804800,8186,false,Krul87,
1636891200,5814,false,heartosis,
1636891200,6224,false,Zazzu,
1636891200,9154,false,Forneaux,
1637064000,5248,true,Nefrums,21
1637064000,6222,false,Zazzu,
1637409600,6699,false,JeHor,
1637496000,11212,false,Phredward,
1637582400,6170,false,Zazzu,
1637755200,6076,false,Zazzu,
1638100800,6072,false,Zazzu,
1638446400,6570,false,JeHor,
1638446400,11456,false,balik8068,
1638705600,9986,false,kungfuwerewolf,
1638792000,9794,false,kungfuwerewolf,
1638878400,5242,true,Franqly,9
1638878400,6066,false,Zazzu,
1638878400,11146,false,Phredward,
1638964800,8020,false,Krul87,
1639224000,6463,false,JeHor,
1639224000,9715,false,kungfuwerewolf,
1639310400,7029,false,ardoRic,
1639396800,8896,false,Forneaux,
1639396800,11056,false,Garneek,
1639569600,6028,false,Zazzu,
1639569600,7923,false,Krul87,
1639569600,9367,false,kungfuwerewolf,
1639656000,5223,true,Franqly,5
1639656000,8661,false,Forneaux,
1639656000,8720,false,Forneaux,
1639742400,7371,false,Krul87,
1639828800,6424,false,JeHor,
1639828800,11809,false,NoNox_1636,
1639915200,5991,false,Zazzu,
1640001600,14798,false,Solmorphic,
1640088000,5141,true,Franqly,159
1640088000,8482,false,Forneaux,
1640174400,12272,false,Solmorphic,
1640347200,9130,false,kungfuwerewolf,
1640692800,8318,false,Forneaux,
1640865600,16061,false,BigDolphin,
1640952000,8782,false,wollywog,
1640952000,12085,false,Mad_B3ast,
1640952000,16021,false,tom_cologne,
1641038400,10592,false,Mad_B3ast,
1641038400,13228,false,BigDolphin,
1641297600,9942,false,Phredward,
1641384000,9163,false,Antipatience,
1641643200,5396,false,Ximoltus,
1641816000,8861,false,Antipatience,
1642334400,5952,false,Zazzu,
1642680000,8512,false,Antipatience,
1642939200,7983,false,Forneaux,
1643198400,9005,false,kungfuwerewolf,
1643284800,7736,false,Forneaux,
1643544000,7606,false,Forneaux,
1643544000,8781,false,wollywog,
1643976000,6830,false,typical_guy,
1644062400,8997,false,kungfuwerewolf,
1644148800,6692,false,typical_guy,
1644148800,6740,false,ardoRic,
1644148800,7531,false,Forneaux,
1644148800,8731,false,wollywog,
1644235200,6561,false,typical_guy,
1644494400,6767,false,Cyclomactic,
1644580800,6510,false,typical_guy,
1644667200,8869,false,kungfuwerewolf,
1644667200,11550,false,rubenvr,
1644753600,11038,false,Woett,
1645099200,6300,false,typical_guy,
1645099200,7534,false,Forneaux,
1645099200,11844,false,Juggledave,
1645358400,7301,false,Forneaux,
1645444800,8400,false,wollywog,
1645444800,11363,false,Juggledave,
1645531200,6132,false,typical_guy,
1645531200,8041,false,wollywog,
1645617600,10441,false,Juggledave,
1645617600,12904,false,Alkyl35,
1645704000,6050,false,typical_guy,
1645704000,8691,false,kungfuwerewolf,
1645790400,15977,false,Toperoco,
1645876800,8032,false,wollywog,
1645963200,13625,false,Toperoco,
1646136000,7845,false,Antipatience,
1646308800,7474,false,Antipatience,
1646481600,5958,false,typical_guy,
1646481600,22803,false,Fatcalvin,
1646568000,8574,false,kungfuwerewolf,
1646568000,17393,false,ScrappyPato,
1646654400,7165,false,Forneaux,
1646740800,10559,false,mysticamber,
1646913600,7007,false,Forneaux,
1647000000,7166,false,Antipatience,
1647259200,5890,false,typical_guy,
1647345600,8262,false,Cobai,
1647691200,8540,false,kungfuwerewolf,
1647777600,7043,false,Antipatience,
1647777600,8096,false,Cobai,
1647864000,8196,false,kungfuwerewolf,
1648209600,5833,false,typical_guy,
1648209600,6797,false,Antipatience,
1648209600,10756,false,balik8068,
1648296000,6675,false,Antipatience,
1648382400,11914,false,Toperoco,
1648468800,6800,false,Forneaux,
1648555200,6705,false,Forneaux,
1648555200,7906,false,Cobai,
1648641600,10085,false,N3dr4,
1648728000,5797,false,typical_guy,
1648728000,10926,false,Arachros,
1648814400,6213,false,BumbleBeeRider,
1648900800,6553,false,Forneaux,
1648900800,7329,false,Cobai,
1648987200,6028,false,BumbleBeeRider,
1649073600,12850,false,Rainiyh,
1649160000,5748,false,typical_guy,
1650024000,7299,false,Cobai,
1650110400,6390,false,Antipatience,
1650110400,17667,false,ChakibONeal,
1650196800,6337,false,Antipatience,
1650369600,7248,false,Cobai,
1650456000,6378,false,Forneaux,
1650456000,7158,false,Cobai,
1650542400,6002,false,BumbleBeeRider,
1650542400,6349,false,Forneaux,
1650628800,6294,false,Antipatience,
1650628800,7820,false,wollywog,
1650715200,6149,false,Antipatience,
1650715200,10808,false,Rainiyh,
1650801600,5747,false,typical_guy,
1650801600,10123,false,Garneek,
1650888000,5740,false,typical_guy,
1651060800,5738,false,typical_guy,
1651147200,5678,false,typical_guy,
